key	value
w1_neutral_render_runtime_seconds	477.06
w8_neutral_render_runtime_seconds	478.46
gate_d_peak_rss_measurement	not_collected
gate_d_delta2_selected_table_estimate_bytes	approximately_180000000
peak_rss_measurement_method	python3.14_resource_getrusage_RUSAGE_CHILDREN_around_exact_ctest_v1
peak_rss_units	KiB_linux
w1_peak_rss_kib	1302380
w8_peak_rss_kib	1311560
w1_selected_topologies_tsv_bytes	180259340
w8_selected_topologies_tsv_bytes	180259340
w1_outer_logical_bytes	194983131
w8_outer_logical_bytes	194983130
w1_neutral_logical_bytes	196747449
w8_neutral_logical_bytes	196747449
durable_archive_sha256	b60dab26090267007feb42938220ff2fed2ee5880861b7ac5ccb1e7e9d8726d5
durable_archive_bytes	3004940
durable_payload_member_count	89
durable_payload_uncompressed_bytes	783481961
durable_package_certificate_sha256	82675dae48c995871965e261724e1e49ebe4fa27ec750b81ec03ae2e7ab4e12d
durable_package_files_sha256	197eb78474d479e82448192efb7b0bfd71f6eac86416b76e03128315f791e6aa
durable_packager_source_sha256	dfb02abd6cb0e38521288429eab86cddeb87eb8af83bfd3d276831fb813ccbd6
durable_archive_repo	tric-explore
durable_archive_path	phylo/evidence/topology-islands/b60dab26090267007feb42938220ff2fed2ee5880861b7ac5ccb1e7e9d8726d5.tar.xz
delta3_decision	deferred_pending_ti3_barrier_need
delta3_decision_reason	delta2_is_sufficient_for_ti3_entry_and_delta3_would_repeat_a_four_hour_dual_export_before_barrier_demand_is_known
w1_raw_export_ctest	passed
w8_raw_export_ctest	passed
raw_parity_ctest	passed
w1_neutral_render_ctest	passed
w8_neutral_render_ctest	passed
neutral_parity_ctest	passed
durable_package_extract_validation	passed
broad_slow_suite	not_run_exact_gate_shards_only
